child,parent,child_descriptor,parent_descriptor
R-HSA-9630221,R-HSA-1643685,Defective NTHL1 substrate processing,Disease
R-HSA-9630222,R-HSA-1643685,Defective NTHL1 substrate binding,Disease
R-HSA-9630791,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4,Disease
R-HSA-9630794,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Disease
R-HSA-9632697,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4,Disease
R-HSA-9632700,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to Defective p16INK4A binding to CDK4 and CDK6,Disease
R-HSA-9632974,R-HSA-162582,NR1H2 & NR1H3 regulate gene expression linked to gluconeogenesis ,Signal Transduction
R-HSA-9633012,R-HSA-8953897,Response of EIF2AK4 (GCN2) to amino acid deficiency,Cellular responses to external stimuli
R-HSA-9634285,R-HSA-1643685,Constitutive Signaling by Overexpressed ERBB2,Disease
R-HSA-9634600,R-HSA-1430728,"Regulation of glycolysis by fructose 2,6-bisphosphate metabolism",Metabolism
R-HSA-9634635,R-HSA-162582,Estrogen-stimulated signaling through PRKCZ,Signal Transduction
R-HSA-9634638,R-HSA-162582,Estrogen-dependent nuclear events downstream of ESR-membrane signaling,Signal Transduction
R-HSA-9635465,R-HSA-1643685,Suppression of apoptosis,Disease
R-HSA-9635644,R-HSA-1643685,Inhibition of membrane repair,Disease
R-HSA-9636003,R-HSA-73894,NEIL3-mediated resolution of ICLs,DNA Repair
R-HSA-9636249,R-HSA-1643685,Inhibition of nitric oxide production,Disease
R-HSA-9636383,R-HSA-1643685,Prevention of phagosomal-lysosomal fusion,Disease
R-HSA-9636467,R-HSA-1643685,Blockage of phagosome acidification,Disease
R-HSA-9636569,R-HSA-1643685,Suppression of autophagy,Disease
R-HSA-9636667,R-HSA-1643685,Manipulation of host energy metabolism,Disease
R-HSA-9637628,R-HSA-1643685,Modulation by Mtb of host immune system,Disease
R-HSA-9637698,R-HSA-1643685,Phagocyte cell death caused by cytosolic Mtb,Disease
R-HSA-9639288,R-HSA-8953897,Amino acids regulate mTORC1,Cellular responses to external stimuli
R-HSA-9639775,R-HSA-1643685,Antimicrobial action and antimicrobial resistance in Mtb,Disease
R-HSA-9640463,R-HSA-1430728,Wax biosynthesis,Metabolism
R-HSA-9645135,R-HSA-168256,STAT5 Activation,Immune System
R-HSA-9645460,R-HSA-168256,Alpha-protein kinase 1 signaling pathway,Immune System
R-HSA-9645722,R-HSA-1643685,Defective Intrinsic Pathway for Apoptosis Due to p14ARF Loss of Function,Disease
R-HSA-9646303,R-HSA-1643685,Evasion of Oncogene Induced Senescence Due to p14ARF Defects,Disease
R-HSA-9646304,R-HSA-1643685,Evasion of Oxidative Stress Induced Senescence Due to p14ARF Defects,Disease
R-HSA-9646399,R-HSA-9612973,Aggrephagy,Autophagy
R-HSA-964739,R-HSA-392499,N-glycan trimming and elongation in the cis-Golgi,Metabolism of proteins
R-HSA-9648002,R-HSA-162582,RAS processing,Signal Transduction
R-HSA-9648025,R-HSA-1640170,EML4 and NUDC in mitotic spindle formation,Cell Cycle
R-HSA-964827,R-HSA-392499,"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",Metabolism of proteins
R-HSA-9648895,R-HSA-8953897,Response of EIF2AK1 (HRI) to heme deficiency,Cellular responses to external stimuli
R-HSA-964975,R-HSA-1430728,Vitamins B6 activation to pyridoxal phosphate,Metabolism
R-HSA-9649913,R-HSA-1643685,RAS GTPase cycle mutants,Disease
R-HSA-9649948,R-HSA-1643685,Signaling downstream of RAS mutants,Disease
R-HSA-9652169,R-HSA-1643685,Signaling by MAP2K mutants,Disease
R-HSA-9652282,R-HSA-162582,Drug-mediated inhibition of ERBB2 signaling,Signal Transduction
R-HSA-9652817,R-HSA-1643685,Signaling by MAPK mutants,Disease
R-HSA-9656223,R-HSA-1643685,Signaling by RAF1 mutants,Disease
R-HSA-9656255,R-HSA-1643685,Defective OGG1 Substrate Binding,Disease
R-HSA-9656256,R-HSA-1643685,Defective OGG1 Substrate Processing,Disease
R-HSA-9657050,R-HSA-1643685,Defective OGG1 Localization,Disease
R-HSA-9657688,R-HSA-1643685,Defective factor XII causes hereditary angioedema,Disease
R-HSA-9657689,R-HSA-1643685,Defective SERPING1 causes hereditary angioedema,Disease
R-HSA-9660537,R-HSA-1643685,Signaling by MRAS-complex mutants,Disease
R-HSA-9660821,R-HSA-1643685,ADORA2B mediated anti-inflammatory cytokines production,Disease
R-HSA-9660826,R-HSA-1643685,Purinergic signaling in leishmaniasis infection,Disease
R-HSA-9661069,R-HSA-1643685,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)",Disease
R-HSA-9661070,R-HSA-1643685,Defective translocation of RB1 mutants to the nucleus,Disease
R-HSA-9662834,R-HSA-1643685,CD163 mediating an anti-inflammatory response,Disease
R-HSA-9663199,R-HSA-1643685,Defective DNA double strand break response due to BRCA1 loss of function,Disease
R-HSA-9664323,R-HSA-1643685,FCGR3A-mediated IL10 synthesis,Disease
R-HSA-9664422,R-HSA-1643685,FCGR3A-mediated phagocytosis,Disease
R-HSA-9664535,R-HSA-1643685,LTC4-CYSLTR mediated IL4 production,Disease
R-HSA-9664565,R-HSA-1643685,Signaling by ERBB2 KD Mutants,Disease
R-HSA-9664873,R-HSA-9612973,Pexophagy,Autophagy
R-HSA-9665233,R-HSA-1643685,Resistance of ERBB2 KD mutants to trastuzumab,Disease
R-HSA-9665244,R-HSA-1643685,Resistance of ERBB2 KD mutants to sapitinib,Disease
R-HSA-9665245,R-HSA-1643685,Resistance of ERBB2 KD mutants to tesevatinib,Disease
R-HSA-9665246,R-HSA-1643685,Resistance of ERBB2 KD mutants to neratinib,Disease
R-HSA-9665247,R-HSA-1643685,Resistance of ERBB2 KD mutants to osimertinib,Disease
R-HSA-9665249,R-HSA-1643685,Resistance of ERBB2 KD mutants to afatinib,Disease
R-HSA-9665250,R-HSA-1643685,Resistance of ERBB2 KD mutants to AEE788,Disease
R-HSA-9665251,R-HSA-1643685,Resistance of ERBB2 KD mutants to lapatinib,Disease
R-HSA-9665348,R-HSA-1643685,Signaling by ERBB2 ECD mutants,Disease
R-HSA-9665686,R-HSA-1643685,Signaling by ERBB2 TMD/JMD mutants,Disease
R-HSA-9665737,R-HSA-1643685,Drug resistance in ERBB2 TMD/JMD mutants,Disease
R-HSA-9668328,R-HSA-1640170,Sealing of the nuclear envelope (NE) by ESCRT-III,Cell Cycle
R-HSA-9669914,R-HSA-1643685,Dasatinib-resistant KIT mutants,Disease
R-HSA-9669917,R-HSA-1643685,Imatinib-resistant KIT mutants,Disease
R-HSA-9669921,R-HSA-1643685,KIT mutants bind TKIs,Disease
R-HSA-9669924,R-HSA-1643685,Masitinib-resistant KIT mutants,Disease
R-HSA-9669926,R-HSA-1643685,Nilotinib-resistant KIT mutants,Disease
R-HSA-9669929,R-HSA-1643685,Regorafenib-resistant KIT mutants,Disease
R-HSA-9669933,R-HSA-1643685,Signaling by kinase domain mutants of KIT,Disease
R-HSA-9669934,R-HSA-1643685,Sunitinib-resistant KIT mutants,Disease
R-HSA-9669935,R-HSA-1643685,Signaling by juxtamembrane domain KIT mutants,Disease
R-HSA-9669936,R-HSA-1643685,Sorafenib-resistant KIT mutants,Disease
R-HSA-9670095,R-HSA-1640170,Inhibition of DNA recombination at telomere,Cell Cycle
R-HSA-9670439,R-HSA-1643685,"Signaling by phosphorylated juxtamembrane, extracellular and kinase domain KIT mutants",Disease
R-HSA-9670613,R-HSA-1643685,Defective Inhibition of DNA Recombination at Telomere Due to DAXX Mutations,Disease
R-HSA-9670615,R-HSA-1643685,Defective Inhibition of DNA Recombination at Telomere Due to ATRX Mutations,Disease
R-HSA-9672383,R-HSA-1643685,Defective factor IX causes thrombophilia,Disease
R-HSA-9672387,R-HSA-1643685,Defective F8 accelerates dissociation of the A2 domain,Disease
R-HSA-9672391,R-HSA-1643685,Defective F8 cleavage by thrombin,Disease
R-HSA-9672393,R-HSA-1643685,Defective F8 binding to von Willebrand factor,Disease
R-HSA-9672395,R-HSA-1643685,Defective F8 binding to the cell membrane,Disease
R-HSA-9672396,R-HSA-1643685,Defective cofactor function of FVIIIa variant,Disease
R-HSA-9672397,R-HSA-1643685,Defective F8 secretion,Disease
R-HSA-9673163,R-HSA-1430728,Oleoyl-phe metabolism,Metabolism
R-HSA-9673202,R-HSA-1643685,Defective F9 variant does not activate FX,Disease
R-HSA-9673218,R-HSA-1643685,Defective F9 secretion,Disease
R-HSA-9673221,R-HSA-1643685,Defective F9 activation,Disease
R-HSA-9673240,R-HSA-1643685,Defective gamma-carboxylation of F9,Disease
R-HSA-9673324,R-HSA-1643685,WNT5:FZD7-mediated leishmania damping,Disease
R-HSA-9673766,R-HSA-1643685,Signaling by cytosolic PDGFRA and PDGFRB fusion proteins,Disease
R-HSA-9673767,R-HSA-1643685,"Signaling by PDGFRA transmembrane, juxtamembrane and kinase domain mutants",Disease
R-HSA-9673768,R-HSA-1643685,Signaling by membrane-tethered fusions of PDGFRA or PDGFRB,Disease
R-HSA-9673770,R-HSA-1643685,Signaling by PDGFRA extracellular domain mutants,Disease
R-HSA-9674396,R-HSA-1643685,Imatinib-resistant PDGFR mutants,Disease
R-HSA-9674401,R-HSA-1643685,Sunitinib-resistant PDGFR mutants,Disease
R-HSA-9674403,R-HSA-1643685,Regorafenib-resistant PDGFR mutants,Disease
R-HSA-9674404,R-HSA-1643685,Sorafenib-resistant PDGFR mutants,Disease
R-HSA-9674428,R-HSA-1643685,PDGFR mutants bind TKIs,Disease
R-HSA-9674519,R-HSA-1643685,Defective F8 sulfation at Y1699,Disease
R-HSA-9678110,R-HSA-1643685,Attachment and Entry,Disease
R-HSA-9679191,R-HSA-1643685,Potential therapeutics for SARS,Disease
R-HSA-9679504,R-HSA-1643685,Translation of Replicase and Assembly of the Replication Transcription Complex,Disease
R-HSA-9679509,R-HSA-1643685,Virion Assembly and Release,Disease
R-HSA-9680187,R-HSA-1643685,Signaling by extracellular domain mutants of KIT,Disease
R-HSA-9682706,R-HSA-1643685,Replication of the SARS-CoV-1 genome,Disease
R-HSA-9682708,R-HSA-1643685,Transcription of SARS-CoV-1 sgRNAs,Disease
R-HSA-9683610,R-HSA-1643685,Maturation of nucleoprotein,Disease
R-HSA-9683673,R-HSA-1643685,Maturation of protein 3a,Disease
R-HSA-9683683,R-HSA-1643685,Maturation of protein E,Disease
R-HSA-9683686,R-HSA-1643685,Maturation of spike protein,Disease
R-HSA-9683701,R-HSA-1643685,Translation of structural proteins,Disease
R-HSA-9686347,R-HSA-5357801,Microbial modulation of RIPK1-mediated regulated necrosis,Programmed Cell Death
R-HSA-9687136,R-HSA-1643685,Aberrant regulation of mitotic exit in cancer due to RB1 defects,Disease
R-HSA-9690406,R-HSA-1266738,Transcriptional regulation of testis differentiation,Developmental Biology
R-HSA-9693928,R-HSA-1643685,Defective RIPK1-mediated regulated necrosis,Disease
R-HSA-9694271,R-HSA-1643685,Assembly of the SARS-CoV-2 Replication-Transcription Complex (RTC),Disease
R-HSA-9694301,R-HSA-1643685,Maturation of replicase proteins,Disease
R-HSA-9694322,R-HSA-1643685,Virion Assembly and Release,Disease
R-HSA-9694493,R-HSA-1643685,Maturation of protein E,Disease
R-HSA-9694548,R-HSA-1643685,Maturation of spike protein,Disease
R-HSA-9694594,R-HSA-1643685,Maturation of protein M,Disease
R-HSA-9694614,R-HSA-1643685,Attachment and Entry,Disease
R-HSA-9694631,R-HSA-1643685,Maturation of nucleoprotein,Disease
R-HSA-9694635,R-HSA-1643685,Translation of structural proteins,Disease
R-HSA-9694676,R-HSA-1643685,Translation of Replicase and Assembly of the Replication Transcription Complex,Disease
R-HSA-9694686,R-HSA-1643685,Replication of the SARS-CoV-2 genome,Disease
R-HSA-9694719,R-HSA-1643685,Maturation of protein 3a,Disease
R-HSA-9694786,R-HSA-1643685,Transcription of SARS-CoV-2 sgRNAs,Disease
R-HSA-9699150,R-HSA-1643685,Defective DNA double strand break response due to BARD1 loss of function,Disease
R-HSA-9702509,R-HSA-1643685,FLT3 mutants bind TKIs,Disease
R-HSA-9702518,R-HSA-1643685,STAT5 activation downstream of FLT3 ITD mutants,Disease
R-HSA-9702569,R-HSA-1643685,KW2449-resistant FLT3 mutants,Disease
R-HSA-9702577,R-HSA-1643685,semaxanib-resistant FLT3 mutants,Disease
R-HSA-9702581,R-HSA-1643685,crenolanib-resistant FLT3 mutants,Disease
R-HSA-9702590,R-HSA-1643685,gilteritinib-resistant FLT3 mutants,Disease
R-HSA-9702596,R-HSA-1643685,lestaurtinib-resistant FLT3 mutants,Disease
R-HSA-9702600,R-HSA-1643685,midostaurin-resistant FLT3 mutants,Disease
R-HSA-9702605,R-HSA-1643685,pexidartinib-resistant FLT3 mutants,Disease
R-HSA-9702614,R-HSA-1643685,ponatinib-resistant FLT3 mutants,Disease
R-HSA-9702620,R-HSA-1643685,quizartinib-resistant FLT3 mutants,Disease
R-HSA-9702624,R-HSA-1643685,sorafenib-resistant FLT3 mutants,Disease
R-HSA-9702632,R-HSA-1643685,sunitinib-resistant FLT3 mutants,Disease
R-HSA-9702636,R-HSA-1643685,tandutinib-resistant FLT3 mutants,Disease
R-HSA-9702998,R-HSA-1643685,linifanib-resistant FLT3 mutants,Disease
R-HSA-9703009,R-HSA-1643685,tamatinib-resistant FLT3 mutants,Disease
R-HSA-9703465,R-HSA-1643685,Signaling by FLT3 fusion proteins,Disease
R-HSA-9703648,R-HSA-1643685,Signaling by FLT3 ITD and TKD mutants,Disease
R-HSA-9706019,R-HSA-162582,RHOBTB3 ATPase cycle,Signal Transduction
R-HSA-9706369,R-HSA-168256,Negative regulation of FLT3,Immune System
R-HSA-9706374,R-HSA-168256,FLT3 signaling through SRC family kinases,Immune System
R-HSA-9706377,R-HSA-1643685,FLT3 signaling by CBL mutants,Disease
R-HSA-975110,R-HSA-168256,TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling,Immune System
R-HSA-975138,R-HSA-168256,TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation,Immune System
R-HSA-975144,R-HSA-168256,IRAK1 recruits IKK complex upon TLR7/8 or 9 stimulation,Immune System
R-HSA-975155,R-HSA-168256,MyD88 dependent cascade initiated on endosome,Immune System
R-HSA-975163,R-HSA-168256,IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation,Immune System
R-HSA-975574,R-HSA-392499,Reactions specific to the hybrid N-glycan synthesis pathway,Metabolism of proteins
R-HSA-975577,R-HSA-392499,N-Glycan antennae elongation,Metabolism of proteins
R-HSA-975578,R-HSA-392499,Reactions specific to the complex N-glycan synthesis pathway,Metabolism of proteins
R-HSA-975634,R-HSA-1430728,Retinoid metabolism and transport,Metabolism
R-HSA-975634,R-HSA-162582,Retinoid metabolism and transport,Signal Transduction
R-HSA-975871,R-HSA-168256,MyD88 cascade initiated on plasma membrane,Immune System
R-HSA-975956,R-HSA-8953854,Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC),Metabolism of RNA
R-HSA-975957,R-HSA-8953854,Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC),Metabolism of RNA
R-HSA-977068,R-HSA-392499,Termination of O-glycan biosynthesis,Metabolism of proteins
R-HSA-977225,R-HSA-392499,Amyloid fiber formation,Metabolism of proteins
R-HSA-977347,R-HSA-1430728,Serine biosynthesis,Metabolism
R-HSA-977443,R-HSA-112316,GABA receptor activation,Neuronal System
R-HSA-977444,R-HSA-112316,GABA B receptor activation,Neuronal System
R-HSA-977606,R-HSA-168256,Regulation of Complement cascade,Immune System
R-HSA-982772,R-HSA-168256,Growth hormone receptor signaling,Immune System
R-HSA-983168,R-HSA-168256,Antigen processing: Ubiquitination & Proteasome degradation,Immune System
R-HSA-983170,R-HSA-168256,"Antigen Presentation: Folding, assembly and peptide loading of class I MHC",Immune System
R-HSA-983189,R-HSA-109582,Kinesins,Hemostasis
R-HSA-983231,R-HSA-109582,Factors involved in megakaryocyte development and platelet production,Hemostasis
R-HSA-983695,R-HSA-168256,Antigen activates B Cell Receptor (BCR) leading to generation of second messengers,Immune System
R-HSA-983712,R-HSA-382551,Ion channel transport,Transport of small molecules
R-HSA-997272,R-HSA-112316,Inhibition  of voltage gated Ca2+ channels via Gbeta/gamma subunits,Neuronal System
